stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds
window_selection,cnn,full_ta,5,42,fold_1,2012,2017,2018,1385,245,15.409333154742013,12.343006043920711,1.0897606364147765,0.8716810256844739,0.5224489795918368,0.5224243635878982,0.04485171619423919,1.0,245,0,0,65,58,59,63,0.49387755102040815,4.579682199997478
window_selection,cnn,full_ta,5,42,fold_2,2012,2018,2019,1630,244,21.88565090215214,18.581117665278985,1.7017738087656042,0.21646619869489303,0.4959016393442623,0.5140655494986204,0.06043013362514076,1.0,244,0,0,9,118,5,112,0.9426229508196722,4.290051500000118
window_selection,cnn,full_ta,5,42,fold_3,2012,2019,2020,1874,243,73.84747285701053,56.988242761989454,6.6294836373347446,0.31883384327000475,0.5247933884297521,0.5137370147621652,0.06090946565167609,1.0,242,1,0,119,5,110,8,0.05371900826446281,4.84621419999894
window_selection,cnn,full_ta,5,42,fold_4,2012,2020,2021,2117,240,22.141826545722328,18.078111017624543,1.8809921566965573,-0.06896453266538027,0.49583333333333335,0.4811859800710752,-0.04337513104179031,1.0,240,0,0,26,87,34,93,0.75,5.047073499998078
