model,arm,ablation,balanced_accuracy_mean,balanced_accuracy_std,direction_accuracy_mean,mcc_mean,rmse_mean,mae_mean,temporal_folds
pit_dern,Global-Numeric,encoder_only,0.5209275660690262,0.026674299462947037,0.5115603762027011,0.0434474992400883,15.17263255874913,12.196352901531366,4
pit_dern,Global-Numeric-News,encoder_only,0.4862085289383433,0.025163547894799795,0.47825589814226177,-0.0291532914585475,14.191141903558293,11.530470982552202,4
pit_dern,Regime-SHAP-Numeric,encoder_only,0.5126488588833931,0.05027595985364083,0.5028485987642098,0.02969712641151679,13.704723450902048,11.095373975719044,4
pit_dern,Regime-SHAP-Numeric-News,encoder_only,0.5033976121525285,0.019738550640334487,0.4970780182311479,0.007464624972163738,14.016496428660092,11.2809723715411,4
pit_dern,Global-Numeric,standard_retrieval,0.4994670959273616,0.03004475462052923,0.4960893107968368,-0.0006147079685891836,8.003144607172331,6.179843098021934,4
pit_dern,Global-Numeric-News,standard_retrieval,0.4887124524440807,0.023903881357815897,0.48547636386216864,-0.022447859954201458,8.116285039610919,6.291854542397653,4
pit_dern,Regime-SHAP-Numeric,standard_retrieval,0.49571949229801393,0.026372331602096753,0.4904321791803163,-0.008653915839878115,8.138305296560812,6.243987772098654,4
pit_dern,Regime-SHAP-Numeric-News,standard_retrieval,0.4852467204482941,0.02650216088219722,0.4819965569080696,-0.030488958037515466,8.169130447472917,6.289977596783935,4
pit_dern,Global-Numeric,dual_evidence,0.49971393918052626,0.04488990350920349,0.49720292023756996,8.276902582884244e-05,7.578279917557517,5.795159070174459,4
pit_dern,Global-Numeric-News,dual_evidence,0.48867955695649995,0.03454213299898748,0.4844370276188458,-0.02206674242571355,7.6603571157779475,5.835273675703054,4
pit_dern,Regime-SHAP-Numeric,dual_evidence,0.5055479268453369,0.029007156475830097,0.5038249882465605,0.011524801498519494,7.638947853876465,5.800177739940919,4
pit_dern,Regime-SHAP-Numeric-News,dual_evidence,0.4842952006789595,0.019237884989861998,0.4831336623717398,-0.0326024028116876,7.681972740175658,5.846294618297102,4
pit_dern,Global-Numeric,pit_dern,0.5200961623919012,0.027774499146938064,0.5105187095360344,0.041428891637670065,14.812597458650114,11.914511319588373,4
pit_dern,Global-Numeric-News,pit_dern,0.48643690361334857,0.022704186790646386,0.47822057992512534,-0.028763876802995518,13.730358091544316,11.16076342847149,4
pit_dern,Regime-SHAP-Numeric,pit_dern,0.5137338673303282,0.05354495726096731,0.503846338398313,0.031746778343898635,13.454682097038546,10.88405193531882,4
pit_dern,Regime-SHAP-Numeric-News,pit_dern,0.5015896459754035,0.018968846890882466,0.49496797549610516,0.0036755188245588023,13.688351871228631,11.013012207505797,4
pit_dern,Global-Numeric,shuffled_retrieval_control,0.5230924333654725,0.027274004472914205,0.5136533424350116,0.04798727101963012,15.088180259013019,12.128143266715362,4
pit_dern,Global-Numeric-News,shuffled_retrieval_control,0.48514015286996726,0.02417802852983014,0.47723130797832736,-0.03135187774745481,14.102377960952492,11.457060531501789,4
pit_dern,Regime-SHAP-Numeric,shuffled_retrieval_control,0.5136621342593329,0.05471981990364186,0.5038730478000225,0.03158584191132237,13.635632092029486,11.036960428114309,4
pit_dern,Regime-SHAP-Numeric-News,shuffled_retrieval_control,0.5033976121525285,0.019738550640334487,0.4970780182311479,0.007464624972163738,13.936107179821114,11.212624874006034,4
