fold,balanced_accuracy_lstm_cnn_attention,direction_accuracy_lstm_cnn_attention,mcc_lstm_cnn_attention,balanced_accuracy_pit_dern,direction_accuracy_pit_dern,mcc_pit_dern,balanced_accuracy_delta_pp,direction_accuracy_delta_pp,mcc_delta
fold_1,0.512859250931066,0.5208333333333334,0.0258597157607831,0.4787084533764317,0.4708333333333333,-0.04281690642359173,-3.415079755463429,-5.000000000000004,-0.06867662218437484
fold_2,0.5703810307017544,0.5785123966942148,0.1468018416735779,0.5032894736842105,0.49586776859504134,0.006794707624925293,-6.709155701754388,-8.264462809917351,-0.14000713404865262
fold_3,0.531731610471768,0.5163934426229508,0.0952020395954842,0.4993606568409718,0.4918032786885246,-0.001374533128271121,-3.237095363079617,-2.4590163934426257,-0.09657657272375533
fold_4,0.5307017543859649,0.5213675213675214,0.08932757895907,0.525,0.5213675213675214,0.05209880722517277,-0.5701754385964874,0.0,-0.03722877173389722
