model,model_label,evidence_status,global_numeric_bacc,global_numeric_news_bacc,regime_shap_numeric_bacc,final_integrated_bacc,direction_accuracy_mean,mcc_mean,rmse_mean,mae_mean,global_numeric_bacc_rank,final_integrated_bacc_rank
lstm,LSTM,frozen_existing_result,0.5184697471012361,0.5026501245482762,0.5187902387675096,0.5200702766052748,0.5198321053015539,0.0443243152962159,15.97184920995312,12.731349137606896,5,4
cnn,CNN,frozen_existing_result,0.5179785624081223,0.5178912586329646,0.532844499625917,0.5149475536974959,0.5175556688922933,0.0308291982376718,22.741060974427395,17.729168831408238,6,5
lstm_cnn,LSTM-CNN,frozen_existing_result,0.5377504056397918,0.5360258585092865,0.5407239461889176,0.5280963560850032,0.5211084716533674,0.0656697565191076,29.79423644584861,23.44488879846579,1,2
lstm_attention,LSTM-Attention,frozen_existing_result,0.5361400809720811,0.5171910154285204,0.5158573162705127,0.5261953684317974,0.5239825784209167,0.0618086941691867,20.405030620397717,15.896851991588948,2,3
lstm_cnn_attention,LSTM-CNN-Attention,frozen_existing_result,0.5310916749229215,0.5188515701837281,0.5404677930680437,0.5364184116226383,0.5342766735045051,0.0892977939972288,31.76779907326111,25.34155670824087,3,1
pit_dern,PIT-DERN,post_freeze_exploratory_architecture_extension,0.5200961623919012,0.48643690361334857,0.5137338673303282,0.5015896459754035,0.49496797549610516,0.0036755188245588023,13.688351871228631,11.013012207505797,4,6
