fold,arm,observations,best_similarity_mean,best_similarity_min,retrieval_gate_mean,retrieval_gate_max
fold_1,Global-Numeric,1205,0.9853875425236259,0.9417378826460404,0.02213890666336626,0.451154051077359
fold_1,Global-Numeric-News,1205,0.9787017536874175,0.9050529453601186,0.03825634008216883,0.4181309279766793
fold_1,Regime-SHAP-Numeric,1205,0.9878887636897444,0.926540684401142,0.015942372423232848,0.2572662911491242
fold_1,Regime-SHAP-Numeric-News,1205,0.9824273714850809,0.8295650982254945,0.025325630540350506,0.3488860538298184
fold_2,Global-Numeric,1215,0.9858160053351644,0.8440135397478704,0.022657555388797913,0.3633592847155865
fold_2,Global-Numeric-News,1215,0.9852365374819684,0.8751489346391537,0.02871347573989663,0.5856846744166978
fold_2,Regime-SHAP-Numeric,1215,0.9873781841451501,0.9338645483221684,0.01747859729409788,0.2562410982926353
fold_2,Regime-SHAP-Numeric-News,1215,0.9849535237328034,0.8512144757054296,0.019057403877789692,0.2023144583795615
fold_3,Global-Numeric,1220,0.9844657820387661,0.8872719802577901,0.024623841351662533,0.3052688928018086
fold_3,Global-Numeric-News,1220,0.9822803572902161,0.8380003124391797,0.03407083719237408,0.6201451357966161
fold_3,Regime-SHAP-Numeric,1220,0.9863488844086614,0.8081448962358384,0.01775263801024144,0.2153562043132957
fold_3,Regime-SHAP-Numeric-News,1220,0.9822971445466018,0.735672640337589,0.02835112489609137,0.3913812181909077
fold_4,Global-Numeric,1170,0.9793878593989845,0.3788359801994486,0.031107206580260033,0.5487722000851343
fold_4,Global-Numeric-News,1170,0.9783546954810837,0.7163880632025105,0.04528700800528733,0.4974733841249345
fold_4,Regime-SHAP-Numeric,1170,0.9811566022460134,0.552256236425369,0.026290336423197228,0.4036570486154343
fold_4,Regime-SHAP-Numeric-News,1170,0.9791029165797409,0.7222508118225587,0.03818584987677654,0.4368967657515129
