fit_id,protocol_id,model,fold,test_year,arm,base_seed,window,feature_count,feature_hash,training_sequences,memory_up,memory_down,fit_seconds,inference_seconds,retrieval_seconds,trainable_parameters,final_training_loss
4cd76d60a37d38d36143,pit-dern-exploratory-v1,pit_dern,fold_1,2022,Regime-SHAP-Numeric,789,5,125,f9f73c978d7d4b0246529d54df3c6ccc278517349dcf8ec33bb376d0c73b587e,723,359,364,5.499689700009185,0.4754281999921659,0.0074891999975079,8988,0.9272680282592772
b4d94b5d54831a63bbc3,pit-dern-exploratory-v1,pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,789,5,133,575a8c387a14e32dd236a1d627c5a005e4370d777ca533c4b60272e5687148ea,723,359,364,5.738496099991608,0.4840622000047005,0.0287737000035122,9180,0.892866849899292
6a469b676e0e2599a6b2,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Global-Numeric,123,5,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,964,492,472,5.922779699991224,0.5001809000095818,0.0271457000053487,8916,0.9914405345916748
a859cf9e99f385e4428f,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Global-Numeric-News,123,5,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,964,492,472,6.41984690001118,0.4957469000073615,0.0344968999997945,9108,0.9825782775878906
2509d86b056cf0ede3d5,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Regime-SHAP-Numeric,123,5,125,f9f73c978d7d4b0246529d54df3c6ccc278517349dcf8ec33bb376d0c73b587e,964,492,472,6.253906099998858,0.5055405000020983,0.0214037999976426,8988,0.9888143539428712
23aae2a8cbee3f4659bb,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,123,5,133,575a8c387a14e32dd236a1d627c5a005e4370d777ca533c4b60272e5687148ea,964,492,472,6.186693199997535,0.531858900008956,0.008526299992809,9180,0.973518431186676
02e2ff45e3a6f78a5178,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Global-Numeric,2025,5,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,964,492,472,7.202940800008946,0.5031610000005458,0.0115073999913875,8916,0.9117021560668944
cd1a1be770afa9567b1b,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Global-Numeric-News,2025,5,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,964,492,472,6.503554099996109,0.539033399996697,0.020757100006449,9108,0.8864766359329224
90d56f50d3527266ff93,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Regime-SHAP-Numeric,2025,5,125,f9f73c978d7d4b0246529d54df3c6ccc278517349dcf8ec33bb376d0c73b587e,964,492,472,6.79392120000557,0.5129161000077147,0.008567100012442,8988,0.9555105566978456
dde4d9b2db46457a49b5,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,2025,5,133,575a8c387a14e32dd236a1d627c5a005e4370d777ca533c4b60272e5687148ea,964,492,472,7.047422199990251,0.5821729000017513,0.0100979999988339,9180,0.916558027267456
4e424a487e2fbe2c0816,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Global-Numeric,42,5,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,964,492,472,6.023970700000064,0.4659313000011025,0.0084694999968633,8916,0.9530926942825316
e610e98304b224345996,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Global-Numeric-News,42,5,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,964,492,472,6.0472784000012325,0.4830578999972204,0.0192825999984052,9108,0.9295789003372192
86d1600bfc9806c2cf78,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Regime-SHAP-Numeric,42,5,125,f9f73c978d7d4b0246529d54df3c6ccc278517349dcf8ec33bb376d0c73b587e,964,492,472,6.144151600004989,0.5116626999952132,0.027241599993431,8988,0.9924086332321168
cbec2696ba243ae8e4df,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,42,5,133,575a8c387a14e32dd236a1d627c5a005e4370d777ca533c4b60272e5687148ea,964,492,472,6.082610199999181,0.4737499999901047,0.0087199000117834,9180,0.962566077709198
140b60ddd7c27c250def,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Global-Numeric,456,5,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,964,492,472,5.973712299994077,0.5031739999976708,0.0251322999974945,8916,0.9655081033706664
0f40738fe778e7885c1d,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Global-Numeric-News,456,5,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,964,492,472,6.230444799992256,0.4782608000095933,0.0215031999978236,9108,0.935169756412506
e04093aaf2d17d4b70a6,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Regime-SHAP-Numeric,456,5,125,f9f73c978d7d4b0246529d54df3c6ccc278517349dcf8ec33bb376d0c73b587e,964,492,472,6.239885000002687,0.5137384999979986,0.0776900999917415,8988,0.9483495950698853
4b958afec6a8fbc59d21,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,456,5,133,575a8c387a14e32dd236a1d627c5a005e4370d777ca533c4b60272e5687148ea,964,492,472,6.255965200005448,0.5157638999953633,0.03557200000796,9180,0.9499768018722534
41965e54360d42e5549c,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Global-Numeric,789,5,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,964,492,472,6.156039599998621,0.5106028000009246,0.0088969999924302,8916,0.9046409726142884
cf7351dbaf7331bea697,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Global-Numeric-News,789,5,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,964,492,472,6.247988999995869,0.4880434999940917,0.0135164999956032,9108,0.8937174677848816
8476a1c874e0cb516593,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Regime-SHAP-Numeric,789,5,125,f9f73c978d7d4b0246529d54df3c6ccc278517349dcf8ec33bb376d0c73b587e,964,492,472,6.194269200001145,0.5033642999915173,0.0159532999969087,8988,0.9384101033210754
e8a846a5e67ef7a6070d,pit-dern-exploratory-v1,pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,789,5,133,575a8c387a14e32dd236a1d627c5a005e4370d777ca533c4b60272e5687148ea,964,492,472,6.108886700007133,0.470455699993181,0.0187934999994467,9180,0.9176203012466432
fce4d274ec96455e3dbe,pit-dern-exploratory-v1,pit_dern,fold_3,2024,Global-Numeric,123,5,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,1207,606,601,6.703332400007639,0.5157662999990862,0.0837375999981304,8916,0.9965184926986694
