stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds
window_selection,lstm,full_ta_vmd,5,42,fold_1,2012,2017,2018,1386,245,23.081062021238285,19.593738151759524,1.7032471755710654,0.7121045734529258,0.5183673469387755,6.222462800040375
window_selection,lstm,full_ta_vmd,5,42,fold_2,2012,2018,2019,1631,244,38.94024881601884,37.737573896729415,3.462652220264307,-1.4804829480821868,0.47950819672131145,6.3643151999567635
window_selection,lstm,full_ta_vmd,5,42,fold_3,2012,2019,2020,1875,243,36.51722372361724,24.636183565113118,2.923026623453686,0.8334374768957623,0.49794238683127573,7.070285799971316
window_selection,lstm,full_ta_vmd,5,42,fold_4,2012,2020,2021,2118,241,19.176615442211233,13.989092952878625,1.4624004970078444,0.20648186556508719,0.46887966804979253,7.2179293999797665
