model,fold,test_year,contrast,treatment_arm,control_arm,balanced_accuracy_delta_pp,direction_accuracy_delta_pp,mcc_delta,rmse_delta,mae_delta
lstm_cnn,fold_4,2025,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,-3.552631578947363,-3.8461538461538547,-0.06743636144982569,-16.498253302637984,-11.237424456454757
lstm_cnn_attention,fold_1,2022,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,3.9315578666291984,3.7500000000000036,0.07842964246615744,-13.144592647248956,-11.433988991769034
lstm_cnn_attention,fold_2,2023,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,4.13240131578948,6.198347107438018,0.09285560062376452,6.91973729413078,3.0067839475698506
lstm_cnn_attention,fold_3,2024,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,-3.173161047176798,-3.688524590163933,-0.040985299803769026,-4.335149121337032,-4.295712563691101
lstm_cnn_attention,fold_4,2025,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,-1.140350877192986,-1.2820512820512775,-0.016983482140623923,-23.430395783507954,-14.931128484597071
cnn,fold_1,2022,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-1.5142997681118708,-2.083333333333326,-0.033634923856042234,0.5489037013755986,-0.03595864637956048
cnn,fold_2,2023,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-9.470942982456144,-9.917355371900827,-0.19273827998726806,8.617128867086535,8.150463883389667
cnn,fold_3,2024,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,5.558920519550437,6.557377049180335,0.116127705579984,-1.5436333256684165,-1.0779461406024602
cnn,fold_4,2025,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-1.7324561403508687,-1.7094017094017144,-0.04088886847749941,2.7120890707920537,1.2794750040058886
lstm,fold_1,2022,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,1.0364696788700778,1.2500000000000067,0.021724977110873754,-0.5904626436386522,-0.6464570591063943
lstm,fold_2,2023,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,4.0433114035087705,3.7190082644628033,0.08178522526073545,0.16214641512354788,0.14977385239934726
lstm,fold_3,2024,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-4.633555420957003,-4.508196721311474,-0.10925542789221235,0.6291694450933392,1.3160210353996113
lstm,fold_4,2025,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,0.06578947368420796,0.0,0.003716913703440114,2.359747027362559,2.510415799300322
lstm_attention,fold_1,2022,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-0.4672897196261738,-0.4166666666666763,-0.009333912066866984,-1.4729516464039065,-1.811744279001747
lstm_attention,fold_2,2023,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,1.267817982456143,1.2396694214876103,0.02559925642630282,-0.4523777745802491,-0.6799028525700894
lstm_attention,fold_3,2024,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,3.970657513964598,4.098360655737709,0.09548726511047187,0.3070183487785343,-0.5902919952415022
lstm_attention,fold_4,2025,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-0.6359649122806954,-0.8547008547008517,-0.0014435916978242508,1.4800633499592202,1.1446065363935922
lstm_cnn,fold_1,2022,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-1.3526807673389096,-2.9166666666666674,-0.02662445159247577,3.9590820626043666,2.96047588941766
lstm_cnn,fold_2,2023,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-3.995339912280693,-3.7190082644628086,-0.07947322325336893,14.973941300895717,11.752256475330384
lstm_cnn,fold_3,2024,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-2.5977522040514236,-2.4590163934426257,-0.08214244898190391,2.945978991788607,1.773006287687128
lstm_cnn,fold_4,2025,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,2.894736842105261,2.991452991452992,0.07163067375645245,3.558587012455444,3.27937040314324
lstm_cnn_attention,fold_1,2022,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-0.4567493500105435,0.0,-0.00886590124257754,-0.8818213380320401,-0.0984066525554006
lstm_cnn_attention,fold_2,2023,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,1.2129934210526327,0.8264462809917328,0.018545671496261434,-0.5611799175095626,-1.0884107552864926
lstm_cnn_attention,fold_3,2024,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-1.6084527895551481,-1.6393442622950838,-0.04449946675818445,3.8424450351407344,4.259913782786153
lstm_cnn_attention,fold_4,2025,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-0.7675438596491224,-0.8547008547008517,-0.012582089743900446,2.6383881623159553,2.0276752674766776
cnn,fold_1,2022,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,2.336448598130836,2.083333333333337,0.04963326221090526,-11.089908309089989,-10.079143572580756
cnn,fold_2,2023,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,-4.481907894736848,-4.1322314049586755,-0.08988647015298007,8.028390504621324,6.104354991530709
cnn,fold_3,2024,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,2.4900733562150834,4.098360655737709,0.02324870592966611,-7.962955615058725,-8.48038697982565
cnn,fold_4,2025,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,-1.55701754385964,-1.7094017094017144,-0.03211973828014705,-0.049375068018218116,-0.07203705136479144
lstm,fold_1,2022,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,-1.9851029442765733,4.583333333333339,-0.06604403330043959,-6.025992745044167,-5.1272851806488795
lstm,fold_2,2023,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,-1.2129934210526327,-3.7190082644628197,-0.047136340045881436,0.3029868450598734,0.2761922620863242
lstm,fold_3,2024,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,0.4172555353657681,0.8196721311475419,-0.00012297555814518024,3.2922004044080815,2.4767404297062647
lstm,fold_4,2025,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,3.421052631578936,2.991452991452992,0.07815174300393138,10.174275853784806,8.386343581032142
lstm_attention,fold_1,2022,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,-0.035134565385430694,5.8333333333333295,-0.03877274495450687,-18.346979755192702,-17.332607169646977
lstm_attention,fold_2,2023,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,-4.824561403508765,-4.545454545454541,-0.09603437867184264,-0.5054929589350543,-1.8811458510994576
lstm_attention,fold_3,2024,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,-1.1138030823070189,-1.2295081967213073,-0.022111089334015732,-6.126569306593172,-7.130337212685692
lstm_attention,fold_4,2025,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,1.9956140350877227,2.1367521367521403,0.044177264784789366,-16.808074582485144,-13.380923980917256
lstm_cnn,fold_1,2022,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,3.6153467781603554,2.083333333333337,0.07294201892418542,-5.091369118299404,-4.458411305292973
lstm_cnn,fold_2,2023,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,-2.7138157894736836,-1.6528925619834656,-0.055343049681856354,18.80455785765326,13.250991917525798
lstm_cnn,fold_3,2024,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,-4.1052560737600166,-4.098360655737709,-0.11701940191161371,2.281936767471965,1.280245271445299
lstm_cnn,fold_4,2025,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,-0.6578947368421018,-0.8547008547008628,0.004194312306626757,-12.93966629018254,-7.958054053311518
lstm_cnn_attention,fold_1,2022,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,3.474808516618655,3.7500000000000036,0.06956374122357989,-14.026413985280996,-11.532395644324435
lstm_cnn_attention,fold_2,2023,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,5.345394736842113,7.024793388429751,0.11140127212002596,6.358557376621217,1.918373192283358
lstm_cnn_attention,fold_3,2024,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,-4.781613836731946,-5.327868852459017,-0.08548476656195347,-0.4927040861962979,-0.03579878090494759
lstm_cnn_attention,fold_4,2025,final_integrated_effect,Regime-SHAP-Numeric-News,Global-Numeric,-1.9078947368421084,-2.136752136752129,-0.02956557188452437,-20.792007621192,-12.903453217120394
cnn,fold_1,2022,routing_news_interaction,difference_of_differences,zero_interaction,0.9451198088679669,1.2500000000000067,0.014147764506249043,3.1951095359515858,2.620786729335771
cnn,fold_2,2023,routing_news_interaction,difference_of_differences,zero_interaction,-7.9221491228070215,-9.090909090909093,-0.16223531087144025,7.962706567027034,8.236179491944258
cnn,fold_3,2024,routing_news_interaction,difference_of_differences,zero_interaction,3.230365435089844,4.098360655737709,0.052306483779049256,-2.8746872028480297,-1.4365617572464693
cnn,fold_4,2025,routing_news_interaction,difference_of_differences,zero_interaction,-3.377192982456134,-3.4188034188034178,-0.07457460240318675,1.811859381714239,0.05958557571331369
lstm,fold_1,2022,routing_news_interaction,difference_of_differences,zero_interaction,4.901271871266955,-1.2499999999999956,0.12727631269267128,7.731311413168333,6.192147844741001
lstm,fold_2,2023,routing_news_interaction,difference_of_differences,zero_interaction,3.7554824561403413,3.7190082644628033,0.08365288676899019,-0.1082145718418861,-0.24241255686019691
lstm,fold_3,2024,routing_news_interaction,difference_of_differences,zero_interaction,-3.812504206205003,-3.6885245901639325,-0.08791742847591874,-1.1209382364006792,-0.1862318207020408
lstm,fold_4,2025,routing_news_interaction,difference_of_differences,zero_interaction,1.9956140350877227,2.564102564102566,0.05634282280394791,0.2829670240723683,0.8005079486858442
lstm_attention,fold_1,2022,routing_news_interaction,difference_of_differences,zero_interaction,3.664535169699951,0.4166666666666541,0.1161426663239927,12.66910517372963,13.299124782613738
lstm_attention,fold_2,2023,routing_news_interaction,difference_of_differences,zero_interaction,5.969024122807021,7.024793388429762,0.1170498728710431,-2.1655370789369144,-1.528474079271879
lstm_attention,fold_3,2024,routing_news_interaction,difference_of_differences,zero_interaction,2.0593579648697733,2.4590163934426252,0.034455425384678065,4.337173358241728,3.6404105845694925
lstm_attention,fold_4,2025,routing_news_interaction,difference_of_differences,zero_interaction,0.021929824561417455,-0.8547008547008517,0.029844746827589974,17.297264986802507,13.579477412276372
lstm_cnn,fold_1,2022,routing_news_interaction,difference_of_differences,zero_interaction,-0.6921509380929058,-2.083333333333337,-0.013439157262790484,3.4167174616910536,3.308787514882477
lstm_cnn,fold_2,2023,routing_news_interaction,difference_of_differences,zero_interaction,-4.146107456140335,-4.1322314049586755,-0.08110854198228751,15.738235282103105,12.782045029097134
lstm_cnn,fold_3,2024,routing_news_interaction,difference_of_differences,zero_interaction,-3.7115552863584425,-3.688524590163933,-0.10362537295920098,-0.061411249200173046,-0.3551485002246295
lstm_cnn,fold_4,2025,routing_news_interaction,difference_of_differences,zero_interaction,4.188596491228069,4.2735042735042805,0.10279350646040428,4.779556169472439,3.3672171754105165
lstm_cnn_attention,fold_1,2022,routing_news_interaction,difference_of_differences,zero_interaction,-0.8221488300189761,0.0,-0.01630355053472735,-1.4533616683817812,0.1343829334029749
lstm_cnn_attention,fold_2,2023,routing_news_interaction,difference_of_differences,zero_interaction,2.042214912280693,1.6528925619834656,0.035887650913183675,-1.5005144116148763,-1.8745219671034477
lstm_cnn_attention,fold_3,2024,routing_news_interaction,difference_of_differences,zero_interaction,1.9685039370078816,2.049180327868849,0.032810256250233955,4.465812062106892,5.199382987219792
lstm_cnn_attention,fold_4,2025,routing_news_interaction,difference_of_differences,zero_interaction,0.08771929824561431,0.0,0.007844486832752351,2.688089961199921,1.6410497313726289
