model,fold,test_year,arm,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm,fold_3,2024,Regime-SHAP-Numeric,5,244,14.425907484049112,10.506204477067831,1.222637146095817,0.8926859174150121,0.5655737704918032,0.5759472373645602,0.17524527019766542,1.0,244,0,0,41,86,20,97,0.75
lstm,fold_3,2024,Regime-SHAP-Numeric-News,5,244,15.055076929142452,11.822225512467442,1.3643469878635897,0.8831210261674491,0.5204918032786885,0.5296116831549902,0.06598984230545307,1.0,244,0,0,39,88,29,88,0.7213114754098361
lstm,fold_4,2025,Global-Numeric,5,234,11.396107991831585,8.906781467196803,1.137818803385144,0.9498660619393504,0.49572649572649574,0.4978070175438597,-0.00444350537315571,1.0,234,0,0,50,70,48,66,0.5811965811965812
lstm,fold_4,2025,Global-Numeric-News,5,234,13.472887995121775,10.61668931781128,1.3675692505333048,0.9299287109863533,0.4700854700854701,0.47850877192982455,-0.0570694144736635,1.0,234,0,0,18,102,22,92,0.8290598290598291
lstm,fold_4,2025,Regime-SHAP-Numeric,5,234,19.210636818253832,14.782709248928622,1.9233665196680103,0.8575369521777448,0.5256410256410257,0.531359649122807,0.06999132392733555,1.0,234,0,0,37,83,28,86,0.7222222222222222
lstm,fold_4,2025,Regime-SHAP-Numeric-News,5,234,21.57038384561639,17.293125048228944,2.2310108515927487,0.8203883696797576,0.5256410256410257,0.5320175438596491,0.07370823763077566,1.0,234,0,0,34,86,25,89,0.7478632478632479
lstm_attention,fold_1,2022,Global-Numeric,5,241,37.76933547288579,33.49059306730278,3.390891112124562,-1.879835730621779,0.45416666666666666,0.5066052982924601,0.05129253255737497,1.0,240,1,0,106,1,130,3,0.016666666666666666
lstm_attention,fold_1,2022,Global-Numeric-News,5,241,23.627278652752256,18.379724005687297,1.8698499200816632,-0.1269805861443829,0.44583333333333336,0.4652870493991989,-0.0741840458334847,1.0,240,1,0,69,38,95,38,0.31666666666666665
lstm_attention,fold_1,2022,Regime-SHAP-Numeric,5,241,20.895307364096997,17.969730176657553,1.8290565162239352,0.11857258140245563,0.5166666666666667,0.5109268498348676,0.021853699669735084,1.0,240,1,0,49,58,58,75,0.5541666666666667
lstm_attention,fold_1,2022,Regime-SHAP-Numeric-News,5,241,19.42235571769309,16.157985897655806,1.649241117170748,0.23845979589763078,0.5125,0.5062539526386058,0.0125197876028681,1.0,240,1,0,48,59,58,75,0.5583333333333333
