model,contrast,metric,point_estimate,ci95_lower,ci95_upper,two_sided_pvalue,replicates,block_length,folds,daily_rows,two_sided_pvalue_holm
lstm_attention,final_integrated_effect,balanced_accuracy_delta_pp,-0.994471254028374,-4.830713609329954,3.046591446360579,0.6096,10000,10,4,960,1.0
lstm_attention,routing_news_interaction,squared_error_loss_delta,498.2182725390458,353.6289120674862,646.5479097829436,0.0,10000,10,4,962,0.0
lstm_attention,routing_news_interaction,balanced_accuracy_delta_pp,2.928711770484536,-0.7122293376544718,6.557007351089476,0.1086,10000,10,4,960,0.543
lstm_cnn_attention,global_news_effect,squared_error_loss_delta,11.814913457721929,-54.662710077205105,87.33908833617986,0.768,10000,10,4,962,1.0
lstm_cnn_attention,global_news_effect,balanced_accuracy_delta_pp,-1.2240104739193503,-2.737774611448422,0.13934192111080773,0.0824,10000,10,4,960,0.41200000000000003
lstm_cnn_attention,regime_shap_effect_without_news,squared_error_loss_delta,-685.5099028369464,-1171.64441383885,-237.0691661213763,0.001,10000,10,4,962,0.002
lstm_cnn_attention,regime_shap_effect_without_news,balanced_accuracy_delta_pp,0.9376118145122218,-2.6673713470783085,4.691428762447481,0.6212,10000,10,4,960,1.0
lstm_cnn_attention,regime_pipeline_news_effect,squared_error_loss_delta,87.98948261131474,22.49026550327618,155.4721409672639,0.0092,10000,10,4,962,0.0368
lstm_cnn_attention,regime_pipeline_news_effect,balanced_accuracy_delta_pp,-0.4049381445405458,-1.9017947211905064,1.0567801187461578,0.5962,10000,10,4,960,1.0
lstm_cnn_attention,final_integrated_effect,squared_error_loss_delta,-597.5204202256315,-1066.7866586997025,-167.7531211346128,0.0044,10000,10,4,962,0.0176
lstm_cnn_attention,final_integrated_effect,balanced_accuracy_delta_pp,0.5326736699716754,-2.9291653837991745,4.189663555776101,0.7876,10000,10,4,960,1.0
lstm_cnn_attention,routing_news_interaction,squared_error_loss_delta,76.1745691535928,-21.41626702484694,175.82663445254926,0.1332,10000,10,4,962,0.1336
lstm_cnn_attention,routing_news_interaction,balanced_accuracy_delta_pp,0.8190723293788045,-1.094925620182419,2.803589827760303,0.4214,10000,10,4,960,1.0
