symbol,mean_attention_when_active,active_test_days
ITC,0.021538137,124
AOT,0.02141918,243
KTC,0.021415228,243
PTTEP,0.021401241,243
BBL,0.021355536,243
TTB,0.021339543,243
GPSC,0.021327639,243
BH,0.021327471,243
MTC,0.021326689,243
CENTEL,0.021323197,243
CPF,0.021319661,243
PTT,0.021313252,243
COM7,0.021306304,119
RATCH,0.021304494,243
EGCO,0.021303339,243
BJC,0.02130096,124
OSP,0.021299886,243
BGRIM,0.021299513,243
OR,0.021296151,243
KBANK,0.021294866,243
SCC,0.021288063,243
WHA,0.02128564,243
GLOBAL,0.021285573,243
MINT,0.021285538,243
DELTA,0.021284832,243
HMPRO,0.021284385,243
BDMS,0.021282637,243
PTTGC,0.021277625,243
TOP,0.0212633,243
TISCO,0.021263044,243
TU,0.02126225,243
AWC,0.021261489,243
CBG,0.021261116,243
ADVANC,0.021258667,243
SCB,0.021253986,243
IVL,0.021242138,243
LH,0.021238552,243
CPALL,0.021238,243
CPN,0.02122771,243
TLI,0.021221928,243
BEM,0.021215135,243
SAWAD,0.021198818,119
KCE,0.02119607,119
TRUE,0.02119487,243
BCP,0.021190178,124
BTS,0.021182522,243
KTB,0.0211718,243
CRC,0.021162024,243
EA,0.021149905,243
SCGP,0.021121785,243
BANPU,,0
CCET,,0
GULF,,0
GULFI,,0
INTUCH,,0
KKP,,0
TCAP,,0
TIDLOR,,0
VGI,,0
