fold,regime,rows,share,mean_return_1d,mean_return_20d,median_return_20d,mean_adx_14,mean_semantic_score,mean_absolute_semantic_score,mean_routing_confidence
fold_1,bull,895,0.3795589482612383,0.0018084385270174261,0.039920638646701125,0.0332118504584999,24.54431264897239,0.22492115273470306,0.22492115273470306,0.904591191976184
fold_1,sideway,825,0.34987277353689566,0.00022383932596670584,0.0015425229527960694,-0.0006444921100067,18.22897360587286,0.005127470854254733,0.030699132854658737,0.776631307163921
fold_1,bear,638,0.27056827820186596,-0.0023952955308872265,-0.048809616411387514,-0.040029428975517395,29.378325933885368,-0.23508682070311415,0.23508682070311415,0.9138043533761188
fold_2,bull,981,0.3774528664871104,0.0018387335812620027,0.038968695660322676,0.0329024933409021,24.15149080017793,0.21837597131924633,0.21837597131924633,0.9057133525739212
fold_2,sideway,910,0.3501346671796845,0.0001268348322210949,0.0015300525184573223,-0.0006203485677049999,18.053006453216913,0.005229852369662325,0.029811363878157675,0.7762444460761382
fold_2,bear,708,0.2724124663332051,-0.0022847072804493642,-0.0469778047088888,-0.038383925644716946,28.85331565249467,-0.2292526104262206,0.2292526104262206,0.9166353736270176
fold_3,bull,1020,0.3589021815622801,0.0017744597447787295,0.03846090929323913,0.0326527590716225,24.07072288804671,0.21585881019680675,0.21585881019680675,0.9047921744967857
fold_3,sideway,995,0.35010555946516536,0.00012518087560540878,0.0015762591345835318,-0.0007640586797066,18.31909846187984,0.004658621358872794,0.030163146534764873,0.7743985456937987
fold_3,bear,827,0.29099225897255454,-0.002140582972720363,-0.044737311255422664,-0.0372916109476688,29.103272458721676,-0.23051419982236745,0.23051419982236745,0.9187235864157008
fold_4,bull,1111,0.36001296176279973,0.001742186236808142,0.038415193987704016,0.0324269332200746,24.641923366094627,0.22214979803779764,0.22214979803779764,0.9074206768092619
fold_4,sideway,1080,0.34996759559300067,0.00010178137701127373,0.0012822029958711682,-0.0009318022813721,18.128456921558204,0.003968854034154179,0.029329601203684594,0.777299962850653
fold_4,bear,895,0.2900194426441996,-0.0020502356154460956,-0.04345087096184718,-0.0360395810427637,28.52258633873148,-0.22486968263315893,0.22486968263315893,0.9172270599651735
