fold,variant,sideway_quantile,smoothing_span,agreement_with_selected,adjusted_rand_with_selected,bull_share,sideway_share,bear_share,quality_gate_passed
fold_1,sideway_quantile_0.30,0.3,3,0.9336099585062241,0.8005331435327668,0.34439834024896265,0.36929460580912865,0.2863070539419087,True
fold_1,sideway_quantile_0.40,0.4,3,0.950207468879668,0.8463651622036736,0.27800829875518673,0.4854771784232365,0.23651452282157676,True
fold_1,smoothing_span_2,0.35,2,0.941908713692946,0.8268118696385697,0.3070539419087137,0.43568464730290457,0.2572614107883817,True
fold_1,smoothing_span_5,0.35,5,0.921161825726141,0.7651815406155786,0.3112033195020747,0.4315352697095436,0.2572614107883817,True
fold_2,sideway_quantile_0.30,0.3,3,0.9218106995884774,0.8107437582599245,0.2139917695473251,0.2674897119341564,0.5185185185185185,True
fold_2,sideway_quantile_0.40,0.4,3,0.9465020576131687,0.8423640671685313,0.1440329218106996,0.3991769547325103,0.4567901234567901,True
fold_2,smoothing_span_2,0.35,2,0.9135802469135802,0.770045546131939,0.18106995884773663,0.34156378600823045,0.4773662551440329,True
fold_2,smoothing_span_5,0.35,5,0.9259259259259259,0.7956053866762747,0.16872427983539096,0.3045267489711934,0.5267489711934157,True
fold_3,sideway_quantile_0.30,0.3,3,0.9713114754098361,0.9125727786999869,0.3442622950819672,0.3975409836065574,0.2581967213114754,True
fold_3,sideway_quantile_0.40,0.4,3,0.9631147540983607,0.8868924245949273,0.3155737704918033,0.46311475409836067,0.22131147540983606,True
fold_3,smoothing_span_2,0.35,2,0.9344262295081968,0.8025922776238075,0.3483606557377049,0.4098360655737705,0.24180327868852458,True
fold_3,smoothing_span_5,0.35,5,0.9426229508196722,0.8274718329986837,0.32786885245901637,0.4426229508196721,0.22950819672131148,True
fold_4,sideway_quantile_0.30,0.3,3,0.9786324786324786,0.9439203974883866,0.32905982905982906,0.2264957264957265,0.4444444444444444,True
fold_4,sideway_quantile_0.40,0.4,3,0.9658119658119658,0.9091020648995348,0.2948717948717949,0.28205128205128205,0.4230769230769231,True
fold_4,smoothing_span_2,0.35,2,0.9529914529914529,0.874892225762556,0.3076923076923077,0.2777777777777778,0.41452991452991456,True
fold_4,smoothing_span_5,0.35,5,0.9487179487179487,0.8676653588296916,0.3247863247863248,0.2222222222222222,0.452991452991453,True
