protocol_version,fold,fit_scope,threshold_fit_scope,routing_target,target_columns_used,train_rows,test_rows,sideway_threshold,minimum_training_regime_share,ordered_training_mean_return_20d,sideway_return_nearest_zero,sideway_score_smallest,quality_gate_passed,train_start,train_end,test_start,test_end,train_routing_switches,test_routing_switches,fold_runtime_seconds
track_c_daily_regime_point_in_time_v2,fold_1,fold_training_only,fold_training_only,current_regime_at_t_for_direction_t_plus_1,False,2358,241,0.06597036463005392,0.27056827820186596,True,True,True,True,2012-05-03,2021-12-29,2022-01-04,2022-12-30,294,26,0.04729899999802001
track_c_daily_regime_point_in_time_v2,fold_2,fold_training_only,fold_training_only,current_regime_at_t_for_direction_t_plus_1,False,2599,243,0.06406478134952827,0.2724124663332051,True,True,True,True,2012-05-03,2022-12-29,2023-01-03,2023-12-28,330,27,0.04713310000079218
track_c_daily_regime_point_in_time_v2,fold_3,fold_training_only,fold_training_only,current_regime_at_t_for_direction_t_plus_1,False,2842,244,0.06417505746868306,0.29099225897255454,True,True,True,True,2012-05-03,2023-12-27,2024-01-02,2024-12-30,357,29,0.05042130000219913
track_c_daily_regime_point_in_time_v2,fold_4,fold_training_only,fold_training_only,current_regime_at_t_for_direction_t_plus_1,False,3086,234,0.06317666834576151,0.2900194426441996,True,True,True,True,2012-05-03,2024-12-27,2025-01-02,2025-12-18,399,21,0.04044579999754205
