fold,split,regime,rows,share,mean_routing_confidence,mean_return_1d,mean_return_20d,mean_adx_14,observed_mean_run_days
fold_1,train,bull,895,0.3795589482612383,0.904591191976184,0.0018084385270174261,0.039920638646701125,24.54431264897239,10.783132530120483
fold_1,train,sideway,825,0.34987277353689566,0.776631307163921,0.00022383932596670584,0.0015425229527960694,18.22897360587286,5.612244897959184
fold_1,train,bear,638,0.27056827820186596,0.9138043533761188,-0.0023952955308872265,-0.048809616411387514,29.378325933885368,9.815384615384616
fold_1,test,bull,73,0.3029045643153527,0.8885153349296897,0.0015879891750446747,0.03012288859857965,20.318324473307626,7.3
fold_1,test,sideway,105,0.43568464730290457,0.7815460077144077,-0.00010484032276696011,0.0029004603774904487,16.930228779190806,8.076923076923077
fold_1,test,bear,63,0.26141078838174275,0.9129027958517442,-0.0013437701256149828,-0.03257440867849749,24.41213161372194,15.75
fold_2,train,bull,981,0.3774528664871104,0.9057133525739212,0.0018387335812620027,0.038968695660322676,24.15149080017793,10.436170212765957
fold_2,train,sideway,910,0.3501346671796845,0.7762444460761382,0.0001268348322210949,0.0015300525184573223,18.053006453216913,5.515151515151516
fold_2,train,bear,708,0.2724124663332051,0.9166353736270176,-0.0022847072804493642,-0.0469778047088888,28.85331565249467,9.833333333333334
fold_2,test,bull,40,0.1646090534979424,0.8712864821723544,0.0006995590816613725,0.026480016112245215,21.8232071144611,10.0
fold_2,test,sideway,84,0.345679012345679,0.754309300999798,-7.291479262262572e-05,0.0013975718433974892,21.237153341826023,6.0
fold_2,test,bear,119,0.4897119341563786,0.9339086532518786,-0.0012831038981646248,-0.031407316591103115,30.590410431904157,11.9
fold_3,train,bull,1020,0.3589021815622801,0.9047921744967857,0.0017744597447787295,0.03846090929323913,24.07072288804671,10.515463917525773
fold_3,train,sideway,995,0.35010555946516536,0.7743985456937987,0.00012518087560540878,0.0015762591345835318,18.31909846187984,5.558659217877095
fold_3,train,bear,827,0.29099225897255454,0.9187235864157008,-0.002140582972720363,-0.044737311255422664,29.103272458721676,10.085365853658537
fold_3,test,bull,81,0.3319672131147541,0.9356915053075475,0.0016768511704731226,0.039501572587911274,32.36562758563985,11.571428571428571
fold_3,test,sideway,104,0.4262295081967213,0.7941853169041688,-0.0004380674206031441,-0.0006255988075349548,16.375336247851116,6.933333333333334
fold_3,test,bear,59,0.24180327868852458,0.905095841831698,-0.0008234627797463031,-0.03027185206125285,22.287343968422277,7.375
fold_4,train,bull,1111,0.36001296176279973,0.9074206768092619,0.001742186236808142,0.038415193987704016,24.641923366094627,10.481132075471699
fold_4,train,sideway,1080,0.34996759559300067,0.777299962850653,0.00010178137701127373,0.0012822029958711682,18.128456921558204,5.4
fold_4,train,bear,895,0.2900194426441996,0.9172270599651735,-0.0020502356154460956,-0.04345087096184718,28.52258633873148,9.52127659574468
fold_4,test,bull,74,0.3162393162393162,0.8868761728304773,0.0023372770182972023,0.055567438353868646,24.385519983936632,10.571428571428571
fold_4,test,sideway,58,0.24786324786324787,0.7959096448052627,0.0003145244245047793,0.002282492266036672,17.37994097735831,5.2727272727272725
fold_4,test,bear,102,0.4358974358974359,0.9446951351074845,-0.0025787588667779415,-0.05651502677754097,34.518777156448664,25.5
