fit_id,model,fold,test_year,base_seed,arm,features,feature_hash,training_sequences,fit_seconds,inference_seconds,trainable_parameters
951e052dbc6b32f2995e,cnn,fold_2,2023,456,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,949,5.143421200002194,0.2466969000015524,12785
6906b624d96c5df45350,cnn,fold_2,2023,456,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,949,4.818299300000945,0.2292235000059008,12785
ae58548ad8a2cac3053a,cnn,fold_2,2023,789,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,949,3.865378499998769,0.2234634000051301,1073
599b613f2b74177dd317,cnn,fold_2,2023,789,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,949,4.928277400002116,0.2662232000002404,12785
c8fe6fd5814f705209ad,cnn,fold_2,2023,789,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,949,4.95355710000149,0.2454068000006373,12785
849fc1998b189bbc1453,cnn,fold_2,2023,789,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,949,4.796674700002768,0.2877176000038162,12785
3ac34097da0f20a64759,cnn,fold_2,2023,2025,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,949,3.659037700002955,0.2127175999994506,1073
fde5bb43a102be1aa800,cnn,fold_2,2023,2025,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,949,4.642660999998043,0.2511421000017435,12785
a3ee1a1ed24460e7e095,cnn,fold_2,2023,2025,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,949,4.8947934999960125,0.2447197999936179,12785
0f43dfd7004604a507f1,cnn,fold_2,2023,2025,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,949,4.659003099994152,0.2598904999977094,12785
f3d870c9903de2aa9737,cnn,fold_3,2024,42,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,1192,3.879359700003988,0.2633853000006638,1073
d52c227443596b77683b,cnn,fold_3,2024,42,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,5.547906399995554,0.2222474000009242,12785
c865a2f278fe64492cdf,cnn,fold_3,2024,42,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,5.316111699998146,0.2330870000005234,12785
c1549e2b9a2b82cfa498,cnn,fold_3,2024,42,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,5.610435200003849,0.2496064999941154,12785
71bf79825cd69f41b78c,cnn,fold_3,2024,123,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,1192,3.9120697999969702,0.2572647000051802,1073
20e1e2561a76d3bfaae1,cnn,fold_3,2024,123,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,5.685985099997197,0.2411375000010593,12785
b5d46f1405ce8b31284a,cnn,fold_3,2024,123,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,5.311141899997892,0.2663677000018651,12785
3d3a03ae2a27908c8568,cnn,fold_3,2024,123,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,6.1643882999997,0.2427196999997249,12785
259873faaa0192260995,cnn,fold_3,2024,456,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,1192,3.840510800000629,0.2410286000013002,1073
e7a03654568a14e5af5d,cnn,fold_3,2024,456,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,5.375016400001186,0.2317894000007072,12785
db63f6c71fee15d3859f,cnn,fold_3,2024,456,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,5.272083300005761,0.2241530999963288,12785
c324c0796718e77d677e,cnn,fold_3,2024,456,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,5.747347699994862,0.2669265000004088,12785
