model,contrast,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,exact_sign_flip_pvalue_holm,minimum_attainable_nonzero_pvalue
lstm_attention,observed_vs_shuffled,rmse_delta,4,0.7648092320720838,0.41827149730062424,0.09924594147715582,1.4303725226670119,4,0,0,0.125,0.625,0.125
lstm_attention,observed_vs_shuffled,mae_delta,4,0.5056777961843659,0.3548269354452904,-0.05893103867713667,1.0702866310458685,4,0,0,0.125,0.625,0.125
lstm_cnn,observed_vs_shuffled,balanced_accuracy_delta_pp,4,1.0197933546720632,1.5809408554425377,-1.495836337465521,3.5354230468096475,3,1,0,0.375,0.75,0.125
lstm_cnn,observed_vs_shuffled,direction_accuracy_delta_pp,4,1.4357843162798423,1.9724593978862106,-1.7028387452827065,4.574407377842391,3,1,0,0.375,0.75,0.125
lstm_cnn,observed_vs_shuffled,mcc_delta,4,0.017803557802552824,0.027991913262007236,-0.026737822666695648,0.06234493827180129,3,1,0,0.25,0.75,0.125
lstm_cnn,observed_vs_shuffled,rmse_delta,4,0.570524881133581,2.267693667828629,-3.0378817862146588,4.17893154848182,3,1,0,0.625,1.0,0.125
lstm_cnn,observed_vs_shuffled,mae_delta,4,0.1400285883711323,2.3654147891236073,-3.6238741896838,3.9039313664260646,2,2,0,0.75,1.0,0.125
lstm_cnn_attention,observed_vs_shuffled,balanced_accuracy_delta_pp,4,-1.7845348662663434,2.1332002257595994,-5.178932454715848,1.609862722183161,1,3,0,0.25,0.75,0.125
lstm_cnn_attention,observed_vs_shuffled,direction_accuracy_delta_pp,4,-1.6559695169046886,2.204616988728107,-5.164007112076417,1.8520680782670405,1,3,0,0.25,0.75,0.125
lstm_cnn_attention,observed_vs_shuffled,mcc_delta,4,-0.0427338320931748,0.04838583341373843,-0.11972649048098721,0.03425882629463761,1,3,0,0.25,0.75,0.125
lstm_cnn_attention,observed_vs_shuffled,rmse_delta,4,-0.5801026763793908,0.778069729430661,-1.8181852442192414,0.6579798914604598,1,3,0,0.375,1.0,0.125
lstm_cnn_attention,observed_vs_shuffled,mae_delta,4,-0.6214821406781921,0.4429133798518092,-1.326256165313247,0.08329188395686271,0,4,0,0.125,0.625,0.125
